CPUS_PER_PROC,NPROCS,WIDTH,NITER,FLOPS,FILE
24,16,736,32768,17970970000000.0,8node_2p_odf2_data.txt
24,16,736,64,351119200000.0,8node_2p_odf2_data.txt
24,16,736,2097152,18674740000000.0,8node_2p_odf2_data.txt
24,16,736,134217728,18352890000000.0,8node_2p_odf2_data.txt
24,16,736,512,1158750000000.0,8node_2p_odf2_data.txt
24,16,736,16777216,17890370000000.0,8node_2p_odf2_data.txt
24,16,736,4096,13491460000000.0,8node_2p_odf2_data.txt
24,16,736,262144,18327380000000.0,8node_2p_odf2_data.txt
24,16,736,512,3670746000000.0,8node_2p_odf2_data.txt
24,16,736,32768,17865310000000.0,8node_2p_odf2_data.txt
24,16,736,2097152,18453020000000.0,8node_2p_odf2_data.txt
24,16,736,4096,11145160000000.0,8node_2p_odf2_data.txt
24,16,736,262144,18300150000000.0,8node_2p_odf2_data.txt
24,16,736,16777216,18374500000000.0,8node_2p_odf2_data.txt
24,16,736,64,412380200000.0,8node_2p_odf2_data.txt
24,16,736,134217728,18307670000000.0,8node_2p_odf2_data.txt
24,16,736,4096,13522680000000.0,8node_2p_odf2_data.txt
24,16,736,16777216,18320040000000.0,8node_2p_odf2_data.txt
24,16,736,512,2139384000000.0,8node_2p_odf2_data.txt
24,16,736,32768,17112380000000.0,8node_2p_odf2_data.txt
24,16,736,2097152,18344970000000.0,8node_2p_odf2_data.txt
24,16,736,134217728,18327600000000.0,8node_2p_odf2_data.txt
24,16,736,262144,18122850000000.0,8node_2p_odf2_data.txt
24,16,736,64,337352900000.0,8node_2p_odf2_data.txt
24,16,736,64,323767600000.0,8node_2p_odf2_data.txt
24,16,736,4096,11126160000000.0,8node_2p_odf2_data.txt
24,16,736,262144,18385780000000.0,8node_2p_odf2_data.txt
24,16,736,512,2415897000000.0,8node_2p_odf2_data.txt
24,16,736,32768,17757700000000.0,8node_2p_odf2_data.txt
24,16,736,2097152,18403590000000.0,8node_2p_odf2_data.txt
24,16,736,134217728,18268500000000.0,8node_2p_odf2_data.txt
24,16,736,16777216,18307820000000.0,8node_2p_odf2_data.txt
24,16,736,32768,17840530000000.0,8node_2p_odf2_data.txt
24,16,736,262144,18243090000000.0,8node_2p_odf2_data.txt
24,16,736,16777216,18234740000000.0,8node_2p_odf2_data.txt
24,16,736,4096,13290740000000.0,8node_2p_odf2_data.txt
24,16,736,64,422946500000.0,8node_2p_odf2_data.txt
24,16,736,134217728,18389330000000.0,8node_2p_odf2_data.txt
24,16,736,512,2430131000000.0,8node_2p_odf2_data.txt
24,16,736,2097152,18297580000000.0,8node_2p_odf2_data.txt
24,16,736,4096,13588870000000.0,8node_2p_odf2_data.txt
24,16,736,32768,17855190000000.0,8node_2p_odf2_data.txt
24,16,736,64,324336200000.0,8node_2p_odf2_data.txt
24,16,736,2097152,18366560000000.0,8node_2p_odf2_data.txt
24,16,736,134217728,18348760000000.0,8node_2p_odf2_data.txt
24,16,736,512,2795871000000.0,8node_2p_odf2_data.txt
24,16,736,16777216,18343920000000.0,8node_2p_odf2_data.txt
24,16,736,262144,17965590000000.0,8node_2p_odf2_data.txt
1,384,1920,512,9390596000000.0,8node_mpi_odf5_data.txt
1,384,1920,32768,18845290000000.0,8node_mpi_odf5_data.txt
1,384,1920,134217728,19133730000000.0,8node_mpi_odf5_data.txt
1,384,1920,262144,18930910000000.0,8node_mpi_odf5_data.txt
1,384,1920,16777216,19150190000000.0,8node_mpi_odf5_data.txt
